Model,K,mP,mR,mAP
mobilenet_v3,5,0.19333333333333336,0.5,0.4780555555555555
mobilenet_v3,10,0.11333333333333331,0.5833333333333334,0.4792956349206349
mobilenet_v3,20,0.06916666666666665,0.7083333333333334,0.4647352776222745
efficientnet_b0,5,0.17333333333333334,0.45,0.4488888888888889
efficientnet_b0,10,0.11166666666666666,0.575,0.4605555555555555
efficientnet_b0,20,0.06833333333333333,0.7,0.43464559026285027
clip_vit_b16,5,0.0,0.0,0.0
clip_vit_b16,10,0.0,0.0,0.0
clip_vit_b16,20,0.0,0.0,0.0
dino_vit_s16,5,0.19,0.49166666666666664,0.4786111111111111
dino_vit_s16,10,0.11166666666666666,0.575,0.4865211640211641
dino_vit_s16,20,0.06583333333333334,0.675,0.4762431203056204
